bibTeX Key, Link to bibTeX File
0456IbnHazmAsmaCabbas1987,https://github.com/OpenITI/bibliography/blob/main/bibFiles/0456IbnHazmAsmaCabbas1987.bib
0456IbnHazmAsmaRiyad2013,https://github.com/OpenITI/bibliography/blob/main/bibFiles/0456IbnHazmAsmaRiyad2013.bib
0456IbnHazmFadlCabbas1987,https://github.com/OpenITI/bibliography/blob/main/bibFiles/0456IbnHazmFadlCabbas1987.bib
0456IbnHazmFadlCamman2015,https://github.com/OpenITI/bibliography/blob/main/bibFiles/0456IbnHazmFadlCamman2015.bib
0456IbnHazmImanaCabdalhadi2017,https://github.com/OpenITI/bibliography/blob/main/bibFiles/0456IbnHazmImanaCabdalhadi2017.bib
0456IbnHazmJamharatBayrut1998,https://github.com/OpenITI/bibliography/blob/main/bibFiles/0456IbnHazmJamharatBayrut1998.bib
0456IbnHazmJamharatHarun1962,https://github.com/OpenITI/bibliography/blob/main/bibFiles/0456IbnHazmJamharatHarun1962.bib
0456IbnHazmJamharatHarun1971,https://github.com/OpenITI/bibliography/blob/main/bibFiles/0456IbnHazmJamharatHarun1971.bib
0456IbnHazmJamharatHarun1977,https://github.com/OpenITI/bibliography/blob/main/bibFiles/0456IbnHazmJamharatHarun1977.bib
0456IbnHazmJamharatHarun1982,https://github.com/OpenITI/bibliography/blob/main/bibFiles/0456IbnHazmJamharatHarun1982.bib
0456IbnHazmJamharatHarun1999,https://github.com/OpenITI/bibliography/blob/main/bibFiles/0456IbnHazmJamharatHarun1999.bib
0456IbnHazmJamharatIbrahim2018,https://github.com/OpenITI/bibliography/blob/main/bibFiles/0456IbnHazmJamharatIbrahim2018.bib
0456IbnHazmJamharatLevi1948,https://github.com/OpenITI/bibliography/blob/main/bibFiles/0456IbnHazmJamharatLevi1948.bib
0456IbnHazmJamharatNiyujisi2014,https://github.com/OpenITI/bibliography/blob/main/bibFiles/0456IbnHazmJamharatNiyujisi2014.bib
0456IbnHazmJamharatRiyad2013,https://github.com/OpenITI/bibliography/blob/main/bibFiles/0456IbnHazmJamharatRiyad2013.bib
0456IbnHazmMaratibCabbas1987,https://github.com/OpenITI/bibliography/blob/main/bibFiles/0456IbnHazmMaratibCabbas1987.bib
0456IbnHazmMaratibCamman2015,https://github.com/OpenITI/bibliography/blob/main/bibFiles/0456IbnHazmMaratibCamman2015.bib
0456IbnHazmMaratibRiyad2013,https://github.com/OpenITI/bibliography/blob/main/bibFiles/0456IbnHazmMaratibRiyad2013.bib
0456IbnHazmNaqtCabbas1987,https://github.com/OpenITI/bibliography/blob/main/bibFiles/0456IbnHazmNaqtCabbas1987.bib
0456IbnHazmNaqtRiyad2013,https://github.com/OpenITI/bibliography/blob/main/bibFiles/0456IbnHazmNaqtRiyad2013.bib
0456IbnHazmNaqtValencia1974,https://github.com/OpenITI/bibliography/blob/main/bibFiles/0456IbnHazmNaqtValencia1974.bib
0456IbnHazmUmmahatCabbas1987,https://github.com/OpenITI/bibliography/blob/main/bibFiles/0456IbnHazmUmmahatCabbas1987.bib
0456IbnHazmUmmahatRiyad2013,https://github.com/OpenITI/bibliography/blob/main/bibFiles/0456IbnHazmUmmahatRiyad2013.bib
0458BayhaqiDalailIbrahim2007,https://github.com/OpenITI/bibliography/blob/main/bibFiles/0458BayhaqiDalailIbrahim2007.bib
